Id,SalePrice
1461,128203.664
1462,166551.02
1463,179002.62
1464,205004.7
1465,173178.72
1466,172002.2
1467,167971.16
1468,171779.92
1469,174457.94
1470,124659.84
1471,186770.38
1472,95059.96
1473,97711.7
1474,144969.6
1475,119354.99
1476,380574.7
1477,273685.34
1478,295868.84
1479,287469.9
1480,440827.3
1481,336147.25
1482,207289.94
1483,177669.58
1484,159971.34
1485,177391.75
1486,198586.94
1487,358819.94
1488,234000.4
1489,208284.5
1490,244672.7
1491,185126.67
1492,84027.04
1493,203698.4
1494,297781.0
1495,287414.25
1496,230129.92
1497,170834.66
1498,162883.67
1499,157764.81
1500,154082.7
1501,177342.53
1502,142328.69
1503,306333.03
1504,243382.95
1505,229367.44
1506,194676.47
1507,264546.72
1508,208544.08
1509,160753.89
1510,148626.55
1511,147925.73
1512,165995.23
1513,134593.8
1514,162879.62
1515,188320.53
1516,155741.9
1517,154633.7
1518,127861.17
1519,231060.6
1520,139344.64
1521,142915.17
1522,178947.83
1523,119446.55
1524,133756.81
1525,121921.66
1526,108236.76
1527,104365.31
1528,130437.734
1529,159748.3
1530,173264.3
1531,104834.25
1532,89316.49
1533,148146.83
1534,125545.1
1535,156881.4
1536,101619.21
1537,54790.08
1538,152015.81
1539,200406.7
1540,96987.74
1541,160849.6
1542,127543.31
1543,177729.23
1544,78760.14
1545,104635.586
1546,125125.555
1547,130237.11
1548,129197.72
1549,113508.734
1550,127525.07
1551,100319.96
1552,143459.06
1553,152228.92
1554,114854.3
1555,163891.66
1556,91250.07
1557,104735.02
1558,85390.81
1559,74636.9
1560,126601.82
1561,135709.08
1562,133886.86
1563,126333.23
1564,166750.8
1565,145092.27
1566,244326.67
1567,73693.24
1568,253740.4
1569,145308.84
1570,138461.75
1571,115896.06
1572,148783.27
1573,264374.94
1574,112495.73
1575,230067.16
1576,261370.66
1577,191519.61
1578,146365.86
1579,151349.38
1580,188103.52
1581,152177.11
1582,116314.49
1583,332315.3
1584,230630.64
1585,136020.31
1586,65026.742
1587,103595.31
1588,159474.31
1589,92761.69
1590,128095.63
1591,87192.33
1592,113250.31
1593,128026.14
1594,114291.26
1595,110777.0
1596,248023.06
1597,195746.75
1598,202436.9
1599,170450.92
1600,162536.86
1601,55391.168
1602,112951.32
1603,75900.445
1604,259903.39
1605,247181.03
1606,163556.11
1607,157566.92
1608,216159.02
1609,189813.47
1610,160024.28
1611,129520.445
1612,162859.6
1613,171440.48
1614,129561.96
1615,84043.47
1616,70271.45
